,#,V,Source In,Source Out,Record In,Record Out,Name,Clip Directory,Duration TC,Frame Rate,Resolution,Video Codec,Audio Codec,Description,Comments,Keywords,Clip Color,Shot,Scene,Take,Flags,Camera #,Date Modified,File Type
737,734,A2,00:00:19:00,00:00:24:16,01:13:59:05,01:14:04:21,68 Office Environment - Very Busy - Telephones - Hum of Voices - Typewriters,/Volumes/RAID1/OPUW/Media/Sound FX/office,00:03:04:15,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Mon Mar  9 18:35:41 2009,aif
738,735,A6,00:00:21:07,00:00:31:00,01:13:59:05,01:14:08:23,"82 Telegraph,Send Send Morse Code Message On Telegraph Key,Radio",/Volumes/RAID1/OPUW/Media/Sound FX/teletype,00:01:10:00,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Wed Oct  2 14:37:04 2019,wav
739,736,A9,00:00:00:21,00:00:31:13,01:13:59:05,01:14:29:22,Jardin d'hiver 05 (Le Bez),/Volumes/RAID1/OPUW/Media/Musique/Tal,00:00:31:17,0.000,,,Linear PCM,,,musique,Olive,,,Musique Tal,,,Sun Apr 19 20:12:57 2020,aif
740,737,V1,00:01:16:06,00:01:16:27,01:13:59:22,01:14:00:15,083418143_main_xl,/Volumes/RAID1/OPUW/Media/Archives/Pond5,00:01:49:22,29.970,640 x 360,H.264,AAC,,,"switchboard,telephone",Navy,,,Pond5,,,Mon Mar 16 11:33:34 2020,mp4
741,738,V1,00:01:16:28,00:01:18:02,01:14:00:15,01:14:01:19,083418143_main_xl,/Volumes/RAID1/OPUW/Media/Archives/Pond5,00:01:49:22,29.970,640 x 360,H.264,AAC,,,"switchboard,telephone",Navy,,,Pond5,,,Mon Mar 16 11:33:34 2020,mp4
743,740,V1,00:26:40:12,00:26:40:24,01:14:01:19,01:14:02:11,TRA_12-008751_4B_vis_00000000_00340003,/Volumes/RAID1/OPUW/Media/Archives/Gaumont Pathé,00:34:00:03,25.000,640 x 486,H.264,AAC,Remplace French Lines,Remplacement de FL SS Normandie,"Normandie,luxe,inauguration,New York,gloire",Navy,,,GP,Green,Gaumont,Tue Jan 21 13:31:38 2020,mp4
744,741,V1,00:26:08:21,00:26:09:20,01:14:02:11,01:14:03:10,TRA_12-008751_4B_vis_00000000_00340003,/Volumes/RAID1/OPUW/Media/Archives/Gaumont Pathé,00:34:00:03,25.000,640 x 486,H.264,AAC,Remplace French Lines,Remplacement de FL SS Normandie,"Normandie,luxe,inauguration,New York,gloire",Navy,,,GP,Green,Gaumont,Tue Jan 21 13:31:38 2020,mp4
745,742,A8,01:00:04:00,01:00:10:06,01:14:02:22,01:14:09:03,Whoosh 03 Exhale,/Volumes/RAID1/OPUW/Media/Sound FX/short,00:00:06:06,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Sun Jul  7 06:37:10 2019,wav
746,743,V1,00:26:47:15,00:26:49:01,01:14:03:10,01:14:04:21,TRA_12-008751_4B_vis_00000000_00340003,/Volumes/RAID1/OPUW/Media/Archives/Gaumont Pathé,00:34:00:03,25.000,640 x 486,H.264,AAC,Remplace French Lines,Remplacement de FL SS Normandie,"Normandie,luxe,inauguration,New York,gloire",Navy,,,GP,Green,Gaumont,Tue Jan 21 13:31:38 2020,mp4
747,744,V1,00:00:00:24,00:00:05:01,01:14:04:21,01:14:08:23,Payen Rapatriement 01,/Volumes/RAID1/OPUW/Media/After Effects/Renders,00:00:05:01,25.000,1920 x 1080,Apple ProRes 422 HQ,,,,,Chocolate,,0422-50a1,Document,,French Lines,Wed Jan  8 11:37:01 2020,mov
748,745,V1,00:05:04:06,00:05:05:16,01:14:08:23,01:14:10:08,TFA-158_vis_00000000_00291800,/Volumes/RAID1/OPUW/Media/Archives/ADA,00:29:17:04,25.000,320 x 240,H.264,AAC,,"EXISTE EN HD GIW in-house HD : 1920x1080, 24p","Compagnie,Paris",Navy,1936,,Atelier des archives,Green,TFA,Fri Nov 29 16:53:22 2019,mp4
749,746,A3,00:00:11:11,00:00:20:15,01:14:08:23,01:14:18:02,Water-Ocean-Waves-on-Rocks-01,/Volumes/RAID1/OPUW/Media/Sound FX/water,00:01:32:22,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Mon Nov 27 12:55:21 2017,aif
752,749,V1,00:05:07:07,00:05:08:17,01:14:10:08,01:14:11:18,TFA-158_vis_00000000_00291800,/Volumes/RAID1/OPUW/Media/Archives/ADA,00:29:17:04,25.000,320 x 240,H.264,AAC,,"EXISTE EN HD GIW in-house HD : 1920x1080, 24p","Compagnie,Paris",Navy,1936,,Atelier des archives,Green,TFA,Fri Nov 29 16:53:22 2019,mp4
753,750,V1,00:00:00:00,00:00:02:08,01:14:11:18,01:14:14:01,Le Bez 02,/Volumes/RAID1/OPUW/Media/After Effects/Renders,00:00:03:01,25.000,1920 x 1080,Apple ProRes 422 HQ,,,,,Chocolate,,,Scan Presse,,,Thu Mar 26 18:20:22 2020,mov
754,751,A5,00:00:03:09,00:00:09:09,01:14:13:10,01:14:19:10,Whoosh-Chime,/Volumes/RAID1/OPUW/Media/Sound FX/short,00:00:09:09,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Mon Nov 27 12:55:27 2017,aif
756,753,V1,00:00:01:00,00:00:05:01,01:14:14:01,01:14:18:02,Juin 1940 Rouge 03,/Volumes/RAID1/OPUW/Media/After Effects/Renders,00:00:05:01,25.000,1920 x 1080,Apple ProRes 422 HQ,,,,,Chocolate,,5116,Document,,French Lines,Sun Apr 19 19:49:57 2020,mov
760,757,V1,10:27:52:13,10:27:55:00,01:14:18:02,01:14:21:14,AKH_M1718,/Volumes/RAID1/OPUW/Media/Archives/AKH,00:49:15:05,25.000,1024 x 576,H.264,,"Officier dans café, Le Marignan",,"occupation,cinéma",Navy,1941 ?,,AKH,Green,NB,Wed Jul  3 16:38:42 2019,mov
761,758,V5,10:03:08:06,10:03:12:18,01:14:18:02,01:14:22:14,AKH_M3318,/Volumes/RAID1/OPUW/Media/Archives/AKH,00:06:58:05,25.000,768 x 576,H.264,,,,"Paris,occupation,remplacement",Navy,,,AKH,,,Fri Jul 24 19:14:13 2020,mov
763,760,A3,00:00:20:15,00:00:27:13,01:14:18:02,01:14:25:00,"35-10 Water, Lake Water Lapping On Rock Shore, Light",/Volumes/RAID1/OPUW/Media/Sound FX/water,00:01:39:09,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Wed May 27 19:10:14 2009,aif
764,761,A4,00:01:10:02,00:01:17:00,01:14:18:02,01:14:25:00,"1-18 Crowd, Outdoor (Medium Crowd_ General Ambience Voices Footsteps)",/Volumes/RAID1/OPUW/Media/Sound FX/people,00:03:02:19,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Sun Nov  9 21:06:16 2008,aif
765,762,V1,10:28:00:20,10:28:03:07,01:14:21:14,01:14:25:00,AKH_M1718,/Volumes/RAID1/OPUW/Media/Archives/AKH,00:49:15:05,25.000,1024 x 576,H.264,,"Officier dans café, Le Marignan",,"occupation,cinéma",Navy,1941 ?,,AKH,Green,NB,Wed Jul  3 16:38:42 2019,mov
766,763,V5,10:04:25:22,10:04:27:15,01:14:22:14,01:14:24:07,AKH_M3318,/Volumes/RAID1/OPUW/Media/Archives/AKH,00:06:58:05,25.000,768 x 576,H.264,,,,"Paris,occupation,remplacement",Navy,,,AKH,,,Fri Jul 24 19:14:13 2020,mov
767,764,V5,10:03:28:18,10:03:33:03,01:14:24:07,01:14:28:17,AKH_M3318,/Volumes/RAID1/OPUW/Media/Archives/AKH,00:06:58:05,25.000,768 x 576,H.264,,,,"Paris,occupation,remplacement",Navy,,,AKH,,,Fri Jul 24 19:14:13 2020,mov
769,766,A3,00:01:18:16,00:01:28:11,01:14:25:00,01:14:34:20,"1-18 Crowd, Outdoor (Medium Crowd_ General Ambience Voices Footsteps)",/Volumes/RAID1/OPUW/Media/Sound FX/people,00:03:02:19,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Sun Nov  9 21:06:16 2008,aif
768,765,V1,10:27:36:14,10:27:39:01,01:14:25:00,01:14:28:12,AKH_M1718,/Volumes/RAID1/OPUW/Media/Archives/AKH,00:49:15:05,25.000,1024 x 576,H.264,,"Officier dans café, Le Marignan",,"occupation,cinéma",Navy,1941 ?,,AKH,Green,NB,Wed Jul  3 16:38:42 2019,mov
771,768,V1,10:27:23:23,10:27:26:06,01:14:28:12,01:14:31:18,AKH_M1718,/Volumes/RAID1/OPUW/Media/Archives/AKH,00:49:15:05,25.000,1024 x 576,H.264,,"Officier dans café, Le Marignan",,"occupation,cinéma",Navy,1941 ?,,AKH,Green,NB,Wed Jul  3 16:38:42 2019,mov
772,769,V5,11:47:48:23,11:47:52:01,01:14:28:17,01:14:31:20,AKH_M2491,/Volumes/RAID1/OPUW/Media/Archives/AKH,01:51:06:03,25.000,768 x 576,H.264,,,,"Paris,occupation,remplacement",Navy,,,AKH,,,Fri Jul 24 19:17:22 2020,mov
773,770,V1,10:19:23:22,10:19:26:02,01:14:31:18,01:14:34:20,AKH_M2410,/Volumes/RAID1/OPUW/Media/Archives/AKH,00:31:24:05,25.000,1024 x 576,H.264,,,,"Paris,occupation,Super-8",Navy,1940,,AKH,Green,NB,Thu Jun 20 17:28:02 2019,mov
774,771,V5,11:47:59:16,11:48:01:11,01:14:31:20,01:14:33:15,AKH_M2491,/Volumes/RAID1/OPUW/Media/Archives/AKH,01:51:06:03,25.000,768 x 576,H.264,,,,"Paris,occupation,remplacement",Navy,,,AKH,,,Fri Jul 24 19:17:22 2020,mov
775,772,V5,10:03:43:16,10:03:46:10,01:14:33:15,01:14:36:09,AKH_M2758,/Volumes/RAID1/OPUW/Media/Archives/AKH,00:38:45:00,25.000,768 x 576,H.264,,,,"Paris,occupation,remplacement",Navy,,,AKH,,,Fri Jul 24 19:15:06 2020,mov
776,773,A6,00:00:24:08,00:00:31:17,01:14:34:03,01:14:41:11,61 Train Passing In_Out Of Tunnel-Intense City Environment,/Volumes/RAID1/OPUW/Media/Sound FX/city,00:00:50:13,0.000,,,AAC,,,,Pink,,,Sound FX Tal,,,Sun Nov  9 21:10:28 2008,m4a
778,775,V1,10:05:30:17,10:05:34:01,01:14:34:20,01:14:39:11,AKH_M2410,/Volumes/RAID1/OPUW/Media/Archives/AKH,00:31:24:05,25.000,1024 x 576,H.264,,,,"Paris,occupation,Super-8",Navy,1940,,AKH,Green,NB,Thu Jun 20 17:28:02 2019,mov
779,776,A3,00:00:12:22,00:00:20:20,01:14:34:20,01:14:42:18,"14-32 Entering Building, City Ambience",/Volumes/RAID1/OPUW/Media/Sound FX/city,00:01:39:03,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Wed May 27 15:20:38 2009,aif
780,777,V5,11:45:25:01,11:45:27:21,01:14:36:09,01:14:39:04,AKH_M2491,/Volumes/RAID1/OPUW/Media/Archives/AKH,01:51:06:03,25.000,768 x 576,H.264,,,,"Paris,occupation,remplacement",Navy,,,AKH,,,Fri Jul 24 19:17:22 2020,mov
782,779,V5,01:28:15:05,01:28:19:17,01:14:39:04,01:14:43:16,AKH_M0435,/Volumes/RAID1/OPUW/Media/Archives/AKH,01:29:10:00,25.000,768 x 576,H.264,,,,"Paris,occupation,remplacement",Navy,,,AKH,,,Fri Jul 24 19:16:18 2020,mov
783,780,V1,10:26:11:20,10:26:14:04,01:14:39:11,01:14:42:18,AKH_M1718,/Volumes/RAID1/OPUW/Media/Archives/AKH,00:49:15:05,25.000,1024 x 576,H.264,,"Officier dans café, Le Marignan",,"occupation,cinéma",Navy,1941 ?,,AKH,Green,NB,Wed Jul  3 16:38:42 2019,mov
785,782,A6,00:00:00:19,00:00:06:20,01:14:41:17,01:14:48:06,"8-53 Soldiers, March- Soldiers Marching By In Boots",/Volumes/RAID1/OPUW/Media/Sound FX/people,00:00:44:20,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Wed Feb 20 18:53:03 2019,wav
786,783,V1,10:16:14:21,10:16:18:20,01:14:42:18,01:14:48:06,AKH_M0070,/Volumes/RAID1/OPUW/Media/Archives/AKH,00:58:31:15,25.000,768 x 576,H.264,,,,"Paris,occupation,Super-8",Navy,1940,,AKH,,NB,Thu Jun 20 17:28:02 2019,mov
787,784,A3,00:00:53:08,00:00:58:21,01:14:42:18,01:14:48:06,"29-02 City,Medium Traffic And Pedestrians,Horns,City Rumble",/Volumes/RAID1/OPUW/Media/Sound FX/city,00:02:02:18,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Wed May 27 18:24:10 2009,aif
788,785,V5,11:50:27:10,11:50:30:09,01:14:43:16,01:14:46:15,AKH_M2491,/Volumes/RAID1/OPUW/Media/Archives/AKH,01:51:06:03,25.000,768 x 576,H.264,,,,"Paris,occupation,remplacement",Navy,,,AKH,,,Fri Jul 24 19:17:22 2020,mov
790,787,V5,11:45:14:11,11:45:15:13,01:14:46:15,01:14:47:17,AKH_M2491,/Volumes/RAID1/OPUW/Media/Archives/AKH,01:51:06:03,25.000,768 x 576,H.264,,,,"Paris,occupation,remplacement",Navy,,,AKH,,,Fri Jul 24 19:17:22 2020,mov
791,788,V5,11:43:06:11,11:43:08:12,01:14:47:17,01:14:49:18,AKH_M2491,/Volumes/RAID1/OPUW/Media/Archives/AKH,01:51:06:03,25.000,768 x 576,H.264,,,,"Paris,occupation,remplacement",Navy,,,AKH,,,Fri Jul 24 19:17:22 2020,mov
792,789,V1,10:04:05:20,10:04:08:20,01:14:48:06,01:14:52:11,AKH_M2410,/Volumes/RAID1/OPUW/Media/Archives/AKH,00:31:24:05,25.000,1024 x 576,H.264,,,,"Paris,occupation,Super-8",Navy,1940,,AKH,Green,NB,Thu Jun 20 17:28:02 2019,mov
793,790,A3,00:00:22:12,00:00:26:17,01:14:48:06,01:14:52:11,"14-32 Entering Building, City Ambience",/Volumes/RAID1/OPUW/Media/Sound FX/city,00:01:39:03,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Wed May 27 15:20:38 2009,aif
794,791,V5,11:04:36:03,11:04:38:21,01:14:49:18,01:14:52:11,AKH_M0032,/Volumes/RAID1/OPUW/Media/Archives/AKH,01:04:45:00,25.000,768 x 576,H.264,,,,"Paris,occupation,remplacement",Navy,,,AKH,,,Fri Jul 24 19:15:40 2020,mov
795,792,A9,00:02:25:03,00:04:33:19,01:14:51:19,01:17:00:09,SEL_LS_1098_00102_PEER_GYNT_SUITE_NO_1_OP_46_DEATH_OF_ASE_Edvard_Hagerup_Grieg,/Volumes/RAID1/OPUW/Media/Musique/Myma,00:04:33:19,0.000,,,Linear PCM,,,musique,Lime,,,Musique Bibliothèque,,EMI,Thu Nov 28 13:19:58 2019,wav
797,794,V1,10:28:15:09,10:28:18:03,01:14:52:11,01:14:56:08,AKH_M1718,/Volumes/RAID1/OPUW/Media/Archives/AKH,00:49:15:05,25.000,1024 x 576,H.264,,"Officier dans café, Le Marignan",,"occupation,cinéma",Navy,1941 ?,,AKH,Green,NB,Wed Jul  3 16:38:42 2019,mov
798,795,V5,10:00:22:17,10:00:26:14,01:14:52:11,01:14:56:08,AKH_M2758,/Volumes/RAID1/OPUW/Media/Archives/AKH,00:38:45:00,25.000,768 x 576,H.264,,,,"Paris,occupation,remplacement",Navy,,,AKH,,,Fri Jul 24 19:15:06 2020,mov
800,797,A3,00:04:05:08,00:04:12:12,01:14:52:11,01:14:59:15,04 Small Harbour - Seagulls,/Volumes/RAID1/OPUW/Media/Sound FX/port,00:05:42:07,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Tue Jun 29 17:46:41 2010,aif
802,799,V1,10:28:09:05,10:28:11:14,01:14:56:08,01:14:59:15,AKH_M1718,/Volumes/RAID1/OPUW/Media/Archives/AKH,00:49:15:05,25.000,1024 x 576,H.264,,"Officier dans café, Le Marignan",,"occupation,cinéma",Navy,1941 ?,,AKH,Green,NB,Wed Jul  3 16:38:42 2019,mov
803,800,V5,10:03:53:00,10:04:02:06,01:14:56:08,01:15:05:14,AKH_M0032,/Volumes/RAID1/OPUW/Media/Archives/AKH,01:04:45:00,25.000,768 x 576,H.264,,,,"Paris,occupation,remplacement",Navy,,,AKH,,,Fri Jul 24 19:15:40 2020,mov
805,802,V1,10:26:37:21,10:26:39:18,01:14:59:15,01:15:02:06,AKH_M1718,/Volumes/RAID1/OPUW/Media/Archives/AKH,00:49:15:05,25.000,1024 x 576,H.264,,"Officier dans café, Le Marignan",,"occupation,cinéma",Navy,1941 ?,,AKH,Green,NB,Wed Jul  3 16:38:42 2019,mov
806,803,A3,00:01:25:12,00:01:41:16,01:14:59:15,01:15:15:19,"29-02 City,Medium Traffic And Pedestrians,Horns,City Rumble",/Volumes/RAID1/OPUW/Media/Sound FX/city,00:02:02:18,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Wed May 27 18:24:10 2009,aif
808,805,V1,10:24:45:22,10:24:50:10,01:15:02:06,01:15:08:12,AKH_M1718,/Volumes/RAID1/OPUW/Media/Archives/AKH,00:49:15:05,25.000,1024 x 576,H.264,,"Officier dans café, Le Marignan",,"occupation,cinéma",Navy,1941 ?,,AKH,Green,NB,Wed Jul  3 16:38:42 2019,mov
809,806,V5,10:00:54:05,10:00:56:04,01:15:05:14,01:15:07:13,AKH_M3318,/Volumes/RAID1/OPUW/Media/Archives/AKH,00:06:58:05,25.000,768 x 576,H.264,,,,"Paris,occupation,remplacement",Navy,,,AKH,,,Fri Jul 24 19:14:13 2020,mov
811,808,V5,01:26:11:14,01:26:14:02,01:15:07:13,01:15:10:01,AKH_M0435,/Volumes/RAID1/OPUW/Media/Archives/AKH,01:29:10:00,25.000,768 x 576,H.264,,,,"Paris,occupation,remplacement",Navy,,,AKH,,,Fri Jul 24 19:16:18 2020,mov
812,809,V1,11:10:33:16,11:10:36:00,01:15:08:12,01:15:11:20,AKH_M2200,/Volumes/RAID1/OPUW/Media/Archives/AKH,00:47:01:08,25.000,768 x 576,H.264,,,,occupation,Navy,1941 ?,,AKH,,NB,Wed Jul  3 18:38:58 2019,mov
813,810,V5,11:50:54:07,11:50:56:19,01:15:10:01,01:15:12:13,AKH_M2491,/Volumes/RAID1/OPUW/Media/Archives/AKH,01:51:06:03,25.000,768 x 576,H.264,,,,"Paris,occupation,remplacement",Navy,,,AKH,,,Fri Jul 24 19:17:22 2020,mov
814,811,V1,10:26:52:10,10:26:55:07,01:15:11:20,01:15:15:19,AKH_M1718,/Volumes/RAID1/OPUW/Media/Archives/AKH,00:49:15:05,25.000,1024 x 576,H.264,,"Officier dans café, Le Marignan",,"occupation,cinéma",Navy,1941 ?,,AKH,Green,NB,Wed Jul  3 16:38:42 2019,mov
815,812,V5,10:21:09:08,10:21:12:14,01:15:12:13,01:15:15:19,AKH_M1966,/Volumes/RAID1/OPUW/Media/Archives/AKH,00:23:41:07,25.000,768 x 576,H.264,,,,"Paris,occupation,remplacement",Navy,,,AKH,,,Fri Jul 24 19:16:18 2020,mov
816,813,A4,00:00:39:13,00:00:50:21,01:15:13:20,01:15:25:03,"35-12 Water, Ocean Waves Coming In, Light",/Volumes/RAID1/OPUW/Media/Sound FX/water,00:02:03:18,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Wed May 27 19:10:33 2009,aif
818,815,V1,00:00:13:10,00:00:16:01,01:15:15:19,01:15:18:10,Normandie Dead End 03,/Volumes/RAID1/OPUW/Media/After Effects/Renders,00:00:16:01,25.000,1920 x 1080,Apple ProRes 422 HQ,,,,,Chocolate,,,Arnaud Gaudry,,,Wed Feb 12 20:33:06 2020,mov
819,816,A1,00:01:26:16,00:01:48:15,01:15:16:00,01:15:37:24,1941-03-01 Discours De Gaulle Malglaive PH706001136,/Volumes/RAID1/OPUW/Media/Archives/INA,00:34:41:10,0.000,,,Linear PCM,,,"radio,De Gaulle,Malglaive",Navy,,,INA Media Pro,,Radio,Mon Feb  3 12:18:49 2020,aiff
821,818,V1,00:00:13:10,00:00:15:17,01:15:18:10,01:15:20:17,Normandie Dead End 03,/Volumes/RAID1/OPUW/Media/After Effects/Renders,00:00:16:01,25.000,1920 x 1080,Apple ProRes 422 HQ,,,,,Chocolate,,,Arnaud Gaudry,,,Wed Feb 12 20:33:06 2020,mov
822,819,V5,11:50:49:22,11:50:53:22,01:15:18:10,01:15:22:10,AKH_M2491,/Volumes/RAID1/OPUW/Media/Archives/AKH,01:51:06:03,25.000,768 x 576,H.264,,,,"Paris,occupation,remplacement",Navy,,,AKH,,,Fri Jul 24 19:17:22 2020,mov
823,820,V1,00:00:00:00,00:00:00:00,01:15:20:17,01:15:23:13,2016.85.2.16.531P01H,/Volumes/RAID1/OPUW/Media/Photos/Jean Moral/Tirages,00:00:00:01,25.000,3807 x 3992,JPEG,,,,Normandie,Apricot,,,Moral,,,Fri Feb 28 13:22:10 2020,jpg
826,823,V5,11:42:40:21,11:42:41:20,01:15:22:10,01:15:23:09,AKH_M2491,/Volumes/RAID1/OPUW/Media/Archives/AKH,01:51:06:03,25.000,768 x 576,H.264,,,,"Paris,occupation,remplacement",Navy,,,AKH,,,Fri Jul 24 19:17:22 2020,mov
827,824,V1,00:00:00:00,00:00:00:00,01:15:23:13,01:15:26:22,2016.85.2.2.96P01H,/Volumes/RAID1/OPUW/Media/Photos/Jean Moral/Tirages,00:00:00:01,25.000,3339 x 5010,JPEG,,,,Normandie,Apricot,,,Moral,,,Fri Feb 28 13:22:10 2020,jpg
828,825,V5,10:04:06:04,10:04:09:11,01:15:23:13,01:15:26:20,AKH_M2758,/Volumes/RAID1/OPUW/Media/Archives/AKH,00:38:45:00,25.000,768 x 576,H.264,,,,"Paris,occupation,remplacement",Navy,,,AKH,,,Fri Jul 24 19:15:06 2020,mov
830,827,V1,00:00:00:00,00:00:00:00,01:15:26:22,01:15:30:08,2016.85.2.2.94P01H,/Volumes/RAID1/OPUW/Media/Photos/Jean Moral/Tirages,00:00:00:01,25.000,3262 x 4890,JPEG,,,,Normandie,Apricot,,,Moral,,,Fri Feb 28 13:22:10 2020,jpg
831,828,V5,00:00:00:00,00:00:00:00,01:15:26:22,01:15:30:05,2016.85.2.2.92P01H,/Volumes/RAID1/OPUW/Media/Photos/Jean Moral/Tirages,00:00:00:01,25.000,3183 x 4958,JPEG,,,,Normandie,Apricot,,,Moral,,,Fri Feb 28 13:22:10 2020,jpg
833,830,V1,00:00:00:00,00:00:00:00,01:15:30:08,01:15:33:15,2016.85.2.9.305P01H,/Volumes/RAID1/OPUW/Media/Photos/Jean Moral/Tirages,00:00:00:01,25.000,3881 x 4251,JPEG,,,,Normandie,Apricot,,,Moral,,,Fri Feb 28 13:22:10 2020,jpg
835,832,V1,00:00:00:00,00:00:00:00,01:15:33:15,01:15:36:16,2016.85.2.9.306P01H,/Volumes/RAID1/OPUW/Media/Photos/Jean Moral/Tirages,00:00:00:01,25.000,3913 x 4177,JPEG,,,,Normandie,Apricot,,,Moral,,,Fri Feb 28 13:22:10 2020,jpg
836,833,V1,00:00:00:22,00:00:05:19,01:15:36:16,01:15:41:13,Cangardel vers de Malglaive 01,/Volumes/RAID1/OPUW/Media/After Effects/Renders,00:00:06:01,25.000,1920 x 1080,Apple ProRes 422 HQ,,,,,Chocolate,,,Livre Compiègne,,,Wed Feb 12 20:08:27 2020,mov
837,834,A1,00:01:55:24,00:02:16:11,01:15:37:24,01:15:58:11,1941-03-01 Discours De Gaulle Malglaive PH706001136,/Volumes/RAID1/OPUW/Media/Archives/INA,00:34:41:10,0.000,,,Linear PCM,,,"radio,De Gaulle,Malglaive",Navy,,,INA Media Pro,,Radio,Mon Feb  3 12:18:49 2020,aiff
838,835,V1,01:00:23:17,01:00:26:18,01:15:41:13,01:15:50:00,Malglaive Normandie 16mm (DNxHR 24fps),/Volumes/RAID1/OPUW/Media/Archives Master/CNC,00:08:46:22,24.000,1920 x 1080,DNxHR HQ,Linear PCM,,,,Pink,,,CNC,,,Tue Jul 21 20:04:41 2020,mov
840,837,V1,00:00:00:00,00:00:00:00,01:15:50:00,01:15:52:17,de Malglaive IMG_[3685-3685],/Volumes/RAID1/OPUW/Media/Photos/de Malglaive,00:00:00:01,25.000,3024 x 4032,JPEG,,,,,Apricot,,,de Malglaive,,,Wed Mar 11 11:55:29 2020,JPG
841,838,V1,00:00:00:09,00:00:04:05,01:15:52:17,01:15:56:13,Malglaive De Gaulle 02,/Volumes/RAID1/OPUW/Media/After Effects/Renders,00:00:04:06,25.000,1920 x 1080,Apple ProRes 422 HQ,,,,,Chocolate,,,AP,,,Sun Apr 19 18:58:38 2020,mov
843,840,V1,00:00:00:00,00:00:03:17,01:15:56:13,01:16:00:05,Matelot 01,/Volumes/RAID1/OPUW/Media/After Effects/Renders,00:00:05:00,25.000,1920 x 1080,Apple ProRes 422 HQ,,,,,Chocolate,,,Scan Presse,,,Thu Jan  9 11:48:41 2020,mov
845,842,V1,00:00:01:05,00:00:04:15,01:16:00:05,01:16:03:15,Matelot 02,/Volumes/RAID1/OPUW/Media/After Effects/Renders,00:00:05:00,25.000,1920 x 1080,Apple ProRes 422 HQ,,,,,Chocolate,,,Scan Presse,,,Thu Jan  9 11:48:37 2020,mov
846,843,A5,01:00:00:00,01:00:06:00,01:16:03:02,01:16:09:02,Hit 04 Grand Hit B.wav,/Volumes/RAID1/OPUW/Media/Sound FX/hits,00:00:06:00,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Sun Jul  7 06:37:10 2019,wav
847,844,V1,00:00:00:00,00:00:05:10,01:16:03:15,01:16:09:00,Délations 01,/Volumes/RAID1/OPUW/Media/After Effects/Renders,00:00:07:00,25.000,1920 x 1080,Apple ProRes 422 HQ,,,,,Chocolate,,Manuscrit via Yannick Quéguiner,Document,,"French Lines, Quéguiner",Thu Jan  9 11:42:54 2020,mov
849,846,A6,01:00:00:00,01:00:07:10,01:16:05:15,01:16:13:00,Hit 13 Metal Slam,/Volumes/RAID1/OPUW/Media/Sound FX/hits,00:00:07:10,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Sun Jul  7 06:37:10 2019,wav
850,847,A4,00:00:28:21,00:00:46:18,01:16:06:09,01:16:24:06,"12 Weather,Wind Howling Heavily",/Volumes/RAID1/OPUW/Media/Sound FX/wind,00:01:05:09,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Thu May  3 09:10:24 2018,aiff
852,849,V1,00:15:24:12,00:15:26:23,01:16:09:00,01:16:11:11,TFA-158_vis_00000000_00291800,/Volumes/RAID1/OPUW/Media/Archives/ADA,00:29:17:04,25.000,320 x 240,H.264,AAC,,"EXISTE EN HD GIW in-house HD : 1920x1080, 24p","Compagnie,Paris",Navy,1936,,Atelier des archives,Green,TFA,Fri Nov 29 16:53:22 2019,mp4
854,851,V1,00:15:49:20,00:15:52:07,01:16:11:11,01:16:13:23,TFA-158_vis_00000000_00291800,/Volumes/RAID1/OPUW/Media/Archives/ADA,00:29:17:04,25.000,320 x 240,H.264,AAC,,"EXISTE EN HD GIW in-house HD : 1920x1080, 24p","Compagnie,Paris",Navy,1936,,Atelier des archives,Green,TFA,Fri Nov 29 16:53:22 2019,mp4
855,852,V1,00:15:46:08,00:15:48:23,01:16:13:23,01:16:16:13,TFA-158_vis_00000000_00291800,/Volumes/RAID1/OPUW/Media/Archives/ADA,00:29:17:04,25.000,320 x 240,H.264,AAC,,"EXISTE EN HD GIW in-house HD : 1920x1080, 24p","Compagnie,Paris",Navy,1936,,Atelier des archives,Green,TFA,Fri Nov 29 16:53:22 2019,mp4
